year,gender,insomnia_freq,sleep_cat,awakenings_freq,sleep_quality_cat,concentration_freq,fatigue_freq,skip_classes_freq,deadline_impact_cat,screen_freq_cat,caffeine_freq_cat,activity_freq_cat,stress_cat,performance_cat,screen_freq,sleep_hours,sleep_ord,caffeine,activity,stress,sleep_quality,insomnia,awakenings,concentration,fatigue,skip_classes,deadline_impact,performance
Third year,Male,Every night,7-8 hours,Every night,Poor,Often,Sometimes,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,7.5,4,4,5,4,2,5,5,4,3,5,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),High stress,Below Average,5,7.5,4,5,4,3,4,4,5,5,5,5,5,2
Third year,Male,Every night,More than 8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,4,4,4,2,5,5,3,5,4,4,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,7.5,4,5,5,3,1,4,4,5,4,3,4,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,4,7.5,4,3,3,3,1,4,4,4,3,4,3,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,2,4,5,4,3,3,4,2
Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,8.5,5,4,4,3,1,3,5,4,4,4,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,3,7.5,4,4,4,4,4,4,4,5,4,4,4,2
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,5,7.5,4,4,4,4,1,4,4,4,4,4,4,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Every night,Sometimes (3-4 times a week),Every day,Extremely high stress,Below Average,5,7.5,4,3,5,4,4,5,4,4,4,4,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,1,5,5,4,4,4,5,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,5,7.5,4,4,5,3,2,4,5,5,4,4,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,4,4,4,1,5,4,4,5,4,5,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,5,7.5,4,5,5,3,2,4,5,4,5,5,5,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,5,8.5,5,4,5,3,1,4,5,5,4,4,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,4,8.5,5,5,5,3,1,4,5,4,5,4,4,1
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,5,4,4,1,5,4,4,4,5,5,1
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,1,5,4,4,5,4,5,1
Third year,Male,Every night,More than 8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,1,5,5,4,4,4,5,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,1,4,5,4,5,5,5,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,7.5,4,5,4,4,1,5,4,4,5,5,4,1
Third year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,1,5,5,5,5,4,5,1
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,7.5,4,4,5,4,2,5,4,5,5,5,5,2
Third year,Male,Every night,7-8 hours,Every night,Very poor,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,1,5,5,5,4,4,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,1,4,5,4,4,5,5,1
Graduate student,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,1,5,3,4,5,4,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,5,4,4,2,4,5,4,5,5,4,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,1,4,4,5,5,4,4,2
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,1,5,4,5,4,4,5,2
Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,5,4,4,1,5,4,5,4,5,4,2
Graduate student,Male,Every night,7-8 hours,Every night,Very poor,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,4,7.5,4,5,5,3,1,5,5,5,5,4,4,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Always,Always,Always,Major impact,Every night,Every day,Every day,High stress,Below Average,5,8.5,5,5,5,3,2,4,5,5,5,5,4,2
Second year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,1,4,4,5,5,5,5,1
Graduate student,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Poor,Always,Often,Always,Moderate impact,Every night,Often (5-6 times a week),Every day,High stress,Below Average,5,7.5,4,4,5,3,2,5,3,5,4,5,3,2
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,4,5,4,4,4,4,4,1
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Rarely (1-2 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,3,6.5,3,4,3,3,3,3,2,3,2,3,3,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,4,4,5,3,4,4,4,2
Second year,Male,Rarely (1-2 times a week),7-8 hours,Never,Poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Below Average,2,7.5,4,2,2,3,2,2,1,2,2,2,2,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,5,5,4,5,4,4,5,1
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Poor,Rarely,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,4,6.5,3,5,4,3,2,3,3,2,4,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,4,4,5,3,4,4,4,2
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,4,4,4,4,5,4,4,2
Second year,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Average,Rarely,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,6.5,3,5,5,3,3,4,4,2,4,5,5,2
Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Sometimes,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,8.5,5,5,5,3,4,5,5,4,3,5,5,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,4,4,3,4,4,4,4,2
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,4,6.5,3,3,3,3,3,3,3,2,1,2,3,1
Third year,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Always,Often,Always,Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Below Average,4,6.5,3,3,5,4,4,5,4,5,4,5,4,2
Second year,Female,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor,3,6.5,3,3,3,2,3,3,3,3,3,3,4,1
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Every night,Every day,Every day,High stress,Poor,5,7.5,4,5,5,3,4,5,4,4,3,5,4,1
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,1,6.5,3,2,3,4,3,3,3,3,3,3,3,2
Third year,Male,Every night,6-7 hours,Every night,Very good,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,6.5,3,4,4,4,5,5,5,5,3,4,4,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,5,4,5,5,4,4,4,2
Third year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Average,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),Extremely high stress,Poor,4,6.5,3,4,2,4,3,4,4,5,4,4,4,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,5,4,4,2,4,5,5,5,4,4,2
Second year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Rarely,Always,Severe impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Poor,2,8.5,5,3,4,4,3,4,3,2,2,5,5,1
Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Poor,3,6.5,3,5,5,4,5,5,4,4,4,4,5,1
Third year,Female,Sometimes (3-4 times a week),6-7 hours,Rarely (1-2 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,6.5,3,4,4,3,4,3,2,4,3,3,4,1
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Sometimes,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,5,7.5,4,4,5,3,5,3,5,3,5,4,5,1
Graduate student,Male,Rarely (1-2 times a week),6-7 hours,Rarely (1-2 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Every day,Every day,Extremely high stress,Poor,5,6.5,3,5,5,4,5,2,2,5,3,3,2,1
Third year,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,3,5,4,3,4,5,1
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,5,4,4,4,5,5,2
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,3,7.5,4,4,4,3,3,3,3,3,3,2,3,2
Third year,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,6.5,3,5,5,4,4,5,4,4,3,4,4,1
Second year,Female,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Poor,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,3,6.5,3,3,3,3,2,3,3,3,2,3,3,2
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Sometimes (1-2 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,4,5,5,4,4,3,4,2
Third year,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Average,Always,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,4.5,2,3,3,3,3,3,3,5,4,4,3,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average,4,7.5,4,4,5,3,5,5,4,4,5,4,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,5,4,4,4,4,4,5,2
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Always,Sometimes,Often (3-4 times a week),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average,2,7.5,4,2,3,3,3,4,4,5,3,4,2,2
Third year,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Poor,4,7.5,4,3,5,4,5,5,5,3,4,4,4,1
Third year,Female,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),Low stress,Below Average,4,4.5,2,3,2,2,3,3,3,3,4,3,3,2
Graduate student,Female,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,4.5,2,5,5,4,5,3,3,5,5,5,5,1
Third year,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,6.5,3,5,5,4,4,4,4,4,4,4,4,2
Third year,Female,Sometimes (3-4 times a week),4-5 hours,Rarely (1-2 times a week),Poor,Never,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,3,4.5,2,4,3,2,2,3,2,1,1,3,3,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Moderate impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,7.5,4,5,5,4,5,4,4,4,4,5,3,1
First year,Male,Sometimes (3-4 times a week),6-7 hours,Rarely (1-2 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,3,6.5,3,3,3,4,4,3,2,4,3,4,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,5,5,5,3,5,5,4,1
Graduate student,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Good,2,6.5,3,4,2,3,3,4,4,3,3,4,3,4
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,2,7.5,4,3,3,4,5,4,3,3,3,3,3,2
Graduate student,Male,Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Very poor,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),No stress,Below Average,3,7.5,4,3,2,1,1,2,3,3,3,3,2,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,5,4,4,5,4,5,5,5,5,5,2
Third year,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor,3,6.5,3,2,2,2,4,3,4,3,3,4,3,1
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,7.5,4,5,5,4,4,5,4,4,3,4,4,2
Third year,Male,Sometimes (3-4 times a week),4-5 hours,Rarely (1-2 times a week),Good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,4.5,2,2,4,4,4,3,2,3,3,3,3,2
First year,Female,Every night,More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,8.5,5,4,5,4,2,5,4,4,4,4,5,2
Graduate student,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Always,Always,Always,Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,3,6.5,3,4,5,4,5,3,4,5,5,5,3,1
First year,Female,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Sometimes,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,4,4,4,2,5,4,5,3,4,5,1
Graduate student,Female,Rarely (1-2 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor,3,6.5,3,4,3,4,3,2,3,3,3,3,3,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,5,4,5,5,5,5,5,2
Third year,Male,Sometimes (3-4 times a week),4-5 hours,Rarely (1-2 times a week),Poor,Often,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average,3,4.5,2,4,3,2,2,3,2,4,3,2,3,2
Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Average,4,7.5,4,5,4,4,5,5,4,4,4,5,4,3
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,4,5,4,5,1
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,3,3,3,3,2,3,4,2
Third year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,6.5,3,5,5,4,4,4,4,4,3,4,5,1
Second year,Male,Sometimes (3-4 times a week),6-7 hours,Rarely (1-2 times a week),Very poor,Never,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Never,High stress,Below Average,2,6.5,3,3,1,3,1,3,2,1,3,2,3,2
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,5,4,4,5,5,5,4,2
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Never,Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good,3,6.5,3,3,3,2,2,3,1,3,3,2,3,4
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,5,4,4,5,5,5,4,2
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Never,Never,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Average,2,7.5,4,2,3,3,2,3,2,1,1,4,3,3
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Average,5,7.5,4,5,5,4,5,5,4,5,5,4,5,3
Second year,Male,Never,6-7 hours,Rarely (1-2 times a week),Good,Always,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Never,Rarely (1-2 times a week),Low stress,Poor,3,6.5,3,1,2,2,4,1,2,5,1,3,3,1
Second year,Female,Often (5-6 times a week),7-8 hours,Never,Very poor,Never,Never,Never,No impact,Never,Never,Never,No stress,Good,1,7.5,4,1,1,1,1,4,1,1,1,1,1,4
Second year,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,5,3,5,5,5,1
Second year,Female,Sometimes (3-4 times a week),4-5 hours,Never,Very poor,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),Extremely high stress,Poor,5,4.5,2,1,3,4,1,3,1,3,2,2,2,1
Third year,Female,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Rarely,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,5,5,3,2,5,5,5,2
Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Rarely (1-2 times a week),Never,High stress,Average,5,7.5,4,2,1,3,5,5,4,5,5,4,4,3
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,5,4,4,5,3,5,3,3,3,5,2
Graduate student,Female,Never,Less than 4 hours,Often (5-6 times a week),Good,Sometimes,Never,Never,Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good,3,3.0,1,3,3,2,4,1,4,3,1,1,2,4
First year,Female,Sometimes (3-4 times a week),Less than 4 hours,Never,Poor,Never,Rarely,Always,Moderate impact,Never,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average,1,3.0,1,3,3,3,2,3,1,1,2,5,3,3
